Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
246,13,765,0.43457,0.39227,0.40007,0.41767,0.3902,0.44083,2.42202,0.41219,0.99834
247,13,763,0.42184,0.37034,0.42713,0.38609,0.40989,0.38747,2.53006,0.40264,1.01871
248,14,768,0.45753,0.37353,0.42414,0.42909,0.41503,0.43492,2.41895,0.4258,1.02998
249,14,766,0.46337,0.38553,0.42761,0.4292,0.40713,0.43274,2.36594,0.42417,1.00356
250,14,766,0.46041,0.40663,0.42097,0.42267,0.41725,0.42317,2.31115,0.42101,0.97303
251,14,767,0.4559,0.4153,0.41594,0.42935,0.41017,0.45175,2.29818,0.4268,0.98087
252,14,770,0.46401,0.3905,0.4474,0.42453,0.43637,0.41634,2.34925,0.43116,1.0129
253,15,769,0.48914,0.4202,0.44539,0.44028,0.43889,0.44329,2.20575,0.44197,0.97486
254,15,766,0.48919,0.42774,0.43829,0.44622,0.43738,0.46388,2.1861,0.44644,0.97597
255,15,768,0.47849,0.40592,0.45722,0.45172,0.43782,0.4293,2.26905,0.44401,1.00749
256,16,771,0.50325,0.42115,0.47909,0.46902,0.45798,0.44931,2.17216,0.46385,1.00756
